14955b94ac7345949e91ee1f2d91858bc61053082d9262321f61b46499aa1ace
0	0	-3	2	2	4	Titan_Temple_Talus_Body_0000
-1	0	-2	1	2	4	Titan_Temple_Talus_Body_0001
2	0	-2	1	2	4	Titan_Temple_Talus_Body_0002
0	0	1	2	2	3	Titan_Temple_Talus_Body_0003
-1	0	2	1	2	1	Titan_Temple_Talus_Body_0004
2	0	2	1	2	1	Titan_Temple_Talus_Body_0005
0	1	-4	2	1	1	Titan_Temple_Talus_Body_0006
0	1	4	2	1	1	Titan_Temple_Talus_Body_0007
0	2	-3	2	1	2	Titan_Temple_Talus_Body_0008
-1	2	-2	1	1	4	Titan_Temple_Talus_Body_0009
2	2	-2	1	1	4	Titan_Temple_Talus_Body_0010
0	2	-1	2	1	3	Titan_Temple_Talus_Body_0011
-1	2	2	2	1	2	Titan_Temple_Talus_Body_0012
2	2	2	1	1	2	Titan_Temple_Talus_Body_0013
1	2	3	1	1	2	Titan_Temple_Talus_Body_0014
0	3	-1	2	1	3	Titan_Temple_Talus_Body_0015
