9184a23f0d2c13e25412bd2f6fd4a80fae332bd4a7e0da857ebbd2772933e94a
-5	4	-6	4	4	4	Titan_Temple_Body_0000
-1	4	-6	4	4	4	Titan_Temple_Body_0001
3	4	-6	3	4	4	Titan_Temple_Body_0002
6	4	-5	1	4	4	Titan_Temple_Body_0003
-6	4	-4	1	4	4	Titan_Temple_Body_0004
7	4	-4	1	4	4	Titan_Temple_Body_0005
-5	4	-2	4	4	4	Titan_Temple_Body_0006
-1	4	-2	4	4	4	Titan_Temple_Body_0007
3	4	-2	3	4	4	Titan_Temple_Body_0008
-7	4	-1	1	4	1	Titan_Temple_Body_0009
6	4	-1	1	4	4	Titan_Temple_Body_0010
-6	4	0	1	4	2	Titan_Temple_Body_0011
7	4	0	1	4	3	Titan_Temple_Body_0012
8	4	1	1	4	1	Titan_Temple_Body_0013
-5	4	2	4	4	3	Titan_Temple_Body_0014
-1	4	2	4	4	4	Titan_Temple_Body_0015
3	4	2	3	4	3	Titan_Temple_Body_0016
6	4	3	1	4	2	Titan_Temple_Body_0017
-3	4	5	2	4	1	Titan_Temple_Body_0018
3	4	5	2	4	1	Titan_Temple_Body_0019
2	4	6	1	4	1	Titan_Temple_Body_0020
-5	5	-10	1	4	4	Titan_Temple_Body_0021
-3	5	-10	1	4	4	Titan_Temple_Body_0022
-4	5	-9	1	4	3	Titan_Temple_Body_0023
-2	5	-9	4	4	3	Titan_Temple_Body_0024
2	5	-9	2	4	3	Titan_Temple_Body_0025
4	5	-8	1	4	2	Titan_Temple_Body_0026
-6	5	-7	1	4	3	Titan_Temple_Body_0027
5	5	-7	2	4	1	Titan_Temple_Body_0028
-7	5	-6	1	4	4	Titan_Temple_Body_0029
6	5	-6	3	4	1	Titan_Temple_Body_0030
7	5	-5	3	4	1	Titan_Temple_Body_0031
8	5	-4	2	4	4	Titan_Temple_Body_0032
-8	5	-3	1	4	4	Titan_Temple_Body_0033
-7	5	-2	1	4	1	Titan_Temple_Body_0034
-7	5	0	1	4	4	Titan_Temple_Body_0035
8	5	0	2	4	1	Titan_Temple_Body_0036
-8	5	1	1	4	2	Titan_Temple_Body_0037
9	5	1	1	4	3	Titan_Temple_Body_0038
-6	5	2	1	4	4	Titan_Temple_Body_0039
8	5	2	1	4	4	Titan_Temple_Body_0040
7	5	3	1	4	4	Titan_Temple_Body_0041
-7	5	4	1	4	1	Titan_Temple_Body_0042
-5	5	5	2	4	2	Titan_Temple_Body_0043
5	5	5	2	4	2	Titan_Temple_Body_0044
-3	5	6	4	4	3	Titan_Temple_Body_0045
1	5	6	1	4	4	Titan_Temple_Body_0046
3	5	6	2	4	4	Titan_Temple_Body_0047
8	5	6	1	4	1	Titan_Temple_Body_0048
-4	5	7	1	4	1	Titan_Temple_Body_0049
2	5	7	1	4	4	Titan_Temple_Body_0050
5	5	7	1	4	2	Titan_Temple_Body_0051
0	5	9	1	4	1	Titan_Temple_Body_0052
0	6	-12	1	4	3	Titan_Temple_Body_0053
3	6	-12	1	4	3	Titan_Temple_Body_0054
5	6	-12	1	4	4	Titan_Temple_Body_0055
-4	6	-11	1	4	2	Titan_Temple_Body_0056
-2	6	-11	2	4	2	Titan_Temple_Body_0057
1	6	-11	2	4	2	Titan_Temple_Body_0058
4	6	-10	1	4	2	Titan_Temple_Body_0059
7	6	-10	1	4	4	Titan_Temple_Body_0060
-8	6	-9	1	4	1	Titan_Temple_Body_0061
-6	6	-9	1	4	2	Titan_Temple_Body_0062
6	6	-9	1	4	2	Titan_Temple_Body_0063
-7	6	-8	1	4	2	Titan_Temple_Body_0064
5	6	-8	1	4	1	Titan_Temple_Body_0065
8	6	-8	1	4	2	Titan_Temple_Body_0066
-8	6	-7	1	4	4	Titan_Temple_Body_0067
9	6	-7	1	4	2	Titan_Temple_Body_0068
-9	6	-5	1	4	4	Titan_Temple_Body_0069
10	6	-5	1	4	4	Titan_Temple_Body_0070
11	6	-4	1	4	4	Titan_Temple_Body_0071
-10	6	-1	2	4	4	Titan_Temple_Body_0072
10	6	-1	1	4	4	Titan_Temple_Body_0073
11	6	0	1	4	2	Titan_Temple_Body_0074
-9	6	3	2	4	2	Titan_Temple_Body_0075
10	6	3	1	4	3	Titan_Temple_Body_0076
9	6	4	1	4	3	Titan_Temple_Body_0077
-8	6	5	2	4	1	Titan_Temple_Body_0078
-7	6	6	2	4	2	Titan_Temple_Body_0079
-5	6	7	1	4	2	Titan_Temple_Body_0080
6	6	7	3	4	1	Titan_Temple_Body_0081
-4	6	8	1	4	2	Titan_Temple_Body_0082
6	6	8	2	4	2	Titan_Temple_Body_0083
-3	6	9	3	4	1	Titan_Temple_Body_0084
5	6	9	1	4	3	Titan_Temple_Body_0085
8	6	9	1	4	1	Titan_Temple_Body_0086
